lat,long,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,sale_date,sale_year,sale_month,sale_quarter,sale_tenure,yr_since_last_renovated,price_m2,Dist_from_seattle,Clusters
47.1593,-121.957,619079016,20140602T000000,687000,4,3.25,4400,186846,2,0,0,4,9,4400,0,1993,0,98022,2280,186846,2014-06-02,2014,06,Q2,21,0,156.13636363636363,57510.72385059746,6
47.1622,-121.971,619079096,20150406T000000,750000,3,2.5,2350,715690,1.5,0,0,4,9,2350,0,1979,0,98022,1280,325393,2015-04-06,2015,04,Q2,36,0,319.1489361702128,56712.042431316964,6
47.1647,-121.973,619079061,20140619T000000,335000,4,2,2030,103672,1,0,0,4,7,2030,0,1969,0,98022,1560,325393,2014-06-19,2014,06,Q2,45,0,165.02463054187191,56395.24261159846,6
47.1775,-122.022,3420069065,20140825T000000,360000,4,1.75,3730,16980,1,0,0,4,7,2150,1580,1974,0,98022,1880,16963,2014-08-25,2014,08,Q3,40,0,96.51474530831099,53420.16597258317,6
47.1776,-121.944,3220079017,20150213T000000,432000,5,2.75,2060,329903,1.5,0,3,5,7,2060,0,1989,0,98022,2240,220232,2015-02-13,2015,02,Q1,26,0,209.70873786407768,56255.10581456177,6
47.1776,-122.011,3520069033,20140623T000000,230000,3,1,1530,389126,1.5,0,0,4,7,1530,0,1919,0,98022,1768,42148,2014-06-23,2014,06,Q2,95,0,150.32679738562092,53781.59114227658,6
47.1795,-122.036,3420069060,20141107T000000,790000,3,2.5,2640,432036,1.5,0,3,3,10,2640,0,1996,0,98022,1500,560617,2014-11-07,2014,11,Q4,18,0,299.24242424242425,52760.97818961656,6
47.1803,-121.974,3620069036,20141021T000000,265000,3,1.75,1820,32666,1,0,0,4,7,1820,0,1966,0,98022,2050,43560,2014-10-21,2014,10,Q4,48,0,145.6043956043956,54842.62502010114,6
47.1808,-122.023,3420069055,20141203T000000,350000,4,2.25,1570,499571,1,0,3,4,7,1570,0,1972,0,98022,1700,181708,2014-12-03,2014,12,Q4,42,0,222.9299363057325,53057.07134243465,6
47.184,-121.959,2468800040,20150410T000000,330000,3,2.5,2060,25046,1,0,0,4,8,1600,460,1980,0,98022,2050,21255,2015-04-10,2015,04,Q2,35,0,160.19417475728156,55058.254590139615,6
47.1853,-122.017,2720069019,20141103T000000,316000,3,1.75,1120,98445,1.5,0,2,4,7,1120,0,1917,0,98022,1620,34200,2014-11-03,2014,11,Q4,97,0,282.14285714285717,52811.789838561985,6
47.1879,-121.973,3020079078,20141027T000000,487000,6,3.25,4750,248600,2,0,0,4,8,4750,0,1947,0,98022,2230,311610,2014-10-27,2014,10,Q4,67,0,102.52631578947368,54146.71234650877,6
47.1895,-122.015,5422810010,20140819T000000,350000,4,2.5,2810,10433,2,0,0,3,8,2810,0,2001,0,98022,2640,9240,2014-08-19,2014,08,Q3,13,0,124.55516014234875,52464.323033117966,6
47.1896,-122.013,5416100160,20150210T000000,353000,3,2.5,2510,9240,2,0,0,4,8,2510,0,2001,0,98022,2690,9240,2015-02-10,2015,02,Q1,14,0,140.6374501992032,52523.90783621141,6
47.1896,-122.014,5416100190,20140729T000000,346290,4,2.75,2690,9240,2,0,0,3,8,2690,0,1998,0,98022,2640,9240,2014-07-29,2014,07,Q3,16,0,128.73234200743494,52489.12511311826,6
47.19,-122.016,5416100020,20141209T000000,323000,3,1.75,1910,8329,1,0,0,3,8,1910,0,2004,0,98022,2510,9259,2014-12-09,2014,12,Q4,10,0,169.10994764397907,52380.212558739906,6
47.1913,-122.015,8078490090,20150508T000000,245000,3,1.75,1670,11452,1,0,2,3,8,1670,0,1992,0,98022,1820,11152,2015-05-08,2015,05,Q2,23,0,146.70658682634732,52286.28068675679,6
